Hypocenter Depth (km),Magnitude,Rrup_OpenQuake,Soil_Class,Tmax,origen,Seismic Latitude,Seismic Longitude,Station Latitude,Station Longitude,T_0.01_RotD50
7.213,3.4,2.503073953743449,2,0.8080808080808081,NGAW2,37.1173,-121.5231,37.1635,-121.6265,-6.819442249509785
7.213,3.4,3.2969473602883563,3,1.081081081081081,NGAW2,37.1173,-121.5231,37.0492,-121.8072,-6.369085915086204
7.213,3.4,3.551053137206533,3,1.081081081081081,NGAW2,37.1173,-121.5231,36.9275,-121.8276,-5.9610144916651535
7.213,3.4,2.9992261628082466,3,1.3333333333333333,NGAW2,37.1173,-121.5231,37.1543,-121.7347,-5.323799290562728
8.469,3.4,2.5265283244788197,3,1.6666666666666667,NGAW2,36.6008,-121.2089,36.6181,-121.3147,-2.6961682716408353
8.469,3.4,3.364187556028255,2,1.0126582278481011,NGAW2,36.6008,-121.2089,36.764,-121.4472,-6.429038469977775
8.049,3.45,3.22525543183224,3,2.2222222222222223,NGAW2,35.8887,-120.4353,35.7307,-120.2499,-7.417266766603397
8.049,3.45,2.186051276738094,3,3.4782608695652177,NGAW2,35.8887,-120.4353,35.8666,-120.4796,-3.184864570876705
8.049,3.45,2.6034301519721073,3,3.3333333333333335,NGAW2,35.8887,-120.4353,35.945,-120.542,-4.685046749131061
6.939,3.48,2.8361502037295256,3,2.5,NGAW2,35.8309,-120.3782,35.7307,-120.2499,-6.579536292641723
6.939,3.48,3.006672213592325,3,2.2222222222222223,NGAW2,35.8309,-120.3782,35.945,-120.542,-6.775674062354721
6.939,3.48,3.505557396986398,3,1.7777777777777777,NGAW2,35.8309,-120.3782,36.0688,-120.5962,-7.765951646266039
10.321,3.3,3.4919517449306197,3,2.2222222222222223,NGAW2,35.9396,-120.4864,35.7307,-120.2499,-8.719841953073127
10.321,3.3,2.540814281726296,3,1.9512195121951221,NGAW2,35.9396,-120.4864,35.8666,-120.4796,-5.9957786394368355
10.321,3.3,2.989714201228428,3,1.0256410256410258,NGAW2,35.9396,-120.4864,36.0688,-120.5962,-6.587411698390955
7.18,3.43,3.3603753871419,3,2.7586206896551726,NGAW2,35.9148,-120.4658,35.7307,-120.2499,-7.344545433222658
